based_in:,member for:,company_name:,rating:,reports:
"Coventry, West Midlands",1 year,All Round Gas Services Ltd,9.89,97
"Burgess Hill, West Sussex",6 years,All Round Glazing,9.81,124
"Solihull, West Midlands",Less than a year,All Round Homes,9.46,6
"Horley, Surrey",6 years,All Round Property Maintenance,9.94,21
"Wisbech, Norfolk",Less than a year,All Round Property Maintenance,9.87,22
New Malden,5 years,All Round Roofing,9.92,103
"Hove, East Sussex",8 years,All Sash Windows,9.89,166
"Basildon, Essex",3 years,All Seasons,9.97,45
"Horsham, West Sussex",Less than a year,All Seasons,9.65,13
Ilford,1 year,All Seasons Building and Damp Proofing Ltd,9.6,35
"Farnham, Surrey",4 years,All Seasons Cleaning,9.94,276
"Chichester, West Sussex",2 years,All Seasons Creating Your Dreams,9.19,31
"Horsham, West Sussex",3 years,All Seasons Fencing Contractors Ltd,9.95,132
"Abingdon, Oxfordshire",1 year,All Seasons Garden Services,9.95,43
"Leicester, Leicestershire",Less than a year,All Seasons Landscaping,9.25,7
"Deeside, Flintshire",1 year,All Seasons Roofing,9.66,22
"Salisbury, Wiltshire",2 years,All Seasons Tree and Garden Services,9.86,72
London,4 years,All Seasons Tree Surgeons,9.76,144
"Horley, Surrey",5 years,All Seasons Tree Surgeons,9.91,96
"Bexhill-on-Sea, East Sussex",3 years,All Seasons Tree Surgery,9.93,323
"Basingstoke, Hampshire",Less than a year,All Seasons Window Cleaning,9.19,19
"Kettering, Northamptonshire",1 year,All Seasons Windows And Doors,9.93,82
"Reading, Berkshire",5 years,All Secure Security Limited,9.92,193
"Epsom, Surrey",8 years,All Sparks Electrical Services,9.96,335
"Crawley, West Sussex",2 years,All Square Carpentry,9.88,64
"Southampton, Hampshire",5 years,All Star Waste Management,9.84,61
"Bristol, Gloucestershire",1 year,All Stone Paving,9.73,42
"Whitstable, Kent",Less than a year,All Style Build,9.53,8
"Epsom, Surrey",7 years,All Surrey Cleaning,9.95,77
"Godalming, Surrey",5 years,All Surrey Drains,9.96,209
"Wallington, Surrey",10 years,All Surrey Roofing Ltd,9.8,239
"Orpington, Kent",Less than a year,All Switched On Ltd,9.98,15
"Hertford, Hertfordshire",Less than a year,All The Floors,9.96,17
"Ashford, Kent",3 years,All Things Lofts,9.92,103
"Littlehampton, West Sussex",5 years,All Things Sash,9.98,65
"Southwick, West Sussex",11 years,All Tiles,9.86,227
"Farnborough, Hampshire",5 years,All Trades,9.83,86
"Tooting, London",2 years,All Tree and Garden Care,9.92,94
"Sittingbourne, Kent",4 years,All Vehicle Services,9.96,61
"Hartfield, East Sussex",6 years,All Weather Exteriors UK Ltd,9.97,559
London,1 year,All Weather Exteriors UK Ltd,9.92,57
"Kettering, Northamptonshire",1 year,All Weather Home Improvements,9.79,12
"Eastleigh, Hampshire",4 years,All Weather Roofing,9.84,170
"Southampton, Hampshire",Less than a year,All Weather Roofing Division,9.97,10
"Erith, Kent",5 years,All Window Services Ltd,9.89,427
"Croydon, Surrey",Less than a year,All Wired Services,9.86,7
"Swindon, Wiltshire",4 years,All Wired Up,9.85,210
"Maidstone, Kent",3 years,All Wired Up Electrical Ltd,9.97,99
"Chertsey, Surrey",Less than a year,All Works Group Ltd.,9.97,9
"Salisbury, Wiltshire",Less than a year,All Year Tree and Garden Services,9.75,12
"Epsom, Surrey",3 years,All Your Junk Limited,9.81,83
"Bangor, Gwynedd",4 years,Allan Ball Building Contractors,9.77,35
"New Milton, Hampshire",2 years,Allan Drury,9.98,66
"Eurocentral, Lanarkshire",3 years,Allan Goldie Roofing,9.94,77
"Gosport, Hampshire",5 years,Allan Harrowsmith Plastering and Window Repairs,9.93,151
"Uxbridge, Middlesex",Less than a year,Allan Jackson Electrical,9.94,9
"Bournemouth, Dorset",Less than a year,Allan Stewart Painter and Decorator,10,17
"Basingstoke, Hampshire",3 years,Allan Watts Electrical,9.85,79
"Reading, Berkshire",3 years,Allaway Electrical Ltd,9.92,63
"Burgess Hill, West Sussex",10 years,ALLBRIGHT,9.92,153
"Basildon, Essex",3 years,Allbuild,9.8,144
"Crawley, West Sussex",4 years,Allbuild Limited,9.86,20
"Wokingham, Berkshire",5 years,Allder Glass Ltd t/a Allder Glass & Locks,9.96,283
Hornchurch,2 years,Alldry Property Services,9.77,57
"Ryde, Isle of Wight",Less than a year,Allen & Shaw,9.75,7
"Ascot, Berkshire",Less than a year,Allen Koning,9.75,5
"Brighton, East Sussex",3 years,Allen Plastering,9.92,131
"Haywards Heath, West Sussex",10 years,Allen Tyler Fencing Ltd,9.76,136
"Stanley, Durham",1 year,Allendor Garage Doors,9.97,99
"Herne Bay, Kent",1 year,Allen's Decorating Limited,9.95,15
"Swanscombe, Kent",Less than a year,Allen's Roofing and Building,9.77,15
"London, Greater London",4 years,Allerco Plumbing and Heating,9.52,227
"Castleford, West Yorkshire",Less than a year,Allerton Electrical,9.88,14
"Castleford, West Yorkshire",1 year,Allerton Remedial Treatments,9.89,25
"Hornchurch, Greater London",2 years,Allfit,9.72,36
"Reading, Berkshire",Less than a year,All-Fix Home Improvements,9.94,40
"Gravesend, Kent",Less than a year,Allfloors & Interiors,9.9,10
"Brierley Hill, West Midlands",2 years,Allglaze,9.69,57
"Maidenhead, Berkshire",Less than a year,Allgone Transport,9.65,5
"Folkestone, Kent",5 years,Alliance Building Company Limited,9.75,32
"Tiverton, Devon",Less than a year,Alliance Building Solutions,9.87,26
"Storrington, West Sussex",2 years,Alliance Moving Services Ltd,9.78,55
"Feltham, Middlesex",2 years,Allibone Electrical Services Ltd,9.88,131
"Morecambe, Lancashire",1 year,Allied Build,9.94,33
"Rochester, Kent",2 years,Allied Construction Elite,10,149
"Romney Marsh, Kent",Less than a year,Allied Cooling Services,9.92,12
"Sutton Coldfield, West Midlands",5 years,Allied Garage Doors,9.82,512
"Crawley, West Sussex",2 years,Allied Gas and Heating,9.9,80
"Roslin, Midlothian",Less than a year,Allied Trade Plumbing and Heating Ltd,9.97,16
"Maidstone, Kent",4 years,Allington Roofing,9.9,138
"Northampton, Northamptonshire",2 years,All-in-one Building & Maintenance,9.9,31
Carshalton,Less than a year,Allison & Squire Door Co.,9.58,6
"Hastings, East Sussex",5 years,Allison Developments,9.81,145
"Fleet, Hampshire",3 years,Allman Electrical,9.99,84
"Mitcham, Surrey",1 year,Allmotion,9.97,25
"Crawley, West Sussex",3 years,Allondeck.co.uk Ltd,9.9,42
"Sutton, Surrey",6 years,Alloy Plumbing Services,9.93,554
"West Ewell, Surrey",Less than a year,Allpoint Roofing,9.86,146
"East Grinstead, West Sussex",2 years,All-Pros Property Maintenance,9.81,31
"Chandlers Ford, Hampshire",5 years,Allrite Roofing,9.74,43
"Wirral, Merseyside",Less than a year,Allround,9.94,8
"Liverpool, Merseyside",Less than a year,Allround Property Repair and Maintenance,8.88,8
"High Wycombe, Buckinghamshire",2 years,Allscapes Gardens Ltd,9.86,87
Sidcup,1 year,Allsom Gas Plumbing and Heating,9.98,42
"Newcastle upon Tyne, Tyne and Wear",Less than a year,Allsorts Maintenance,10,3
"Leeds, West Yorkshire",Less than a year,AllStar Cleaning Services,9.96,31
"Walton-on-Thames, Surrey",8 years,Allstars Property Solutions,9.91,114
Worcester Park,2 years,Allstyle Glazing,9.88,36
"Harpenden, Hertfordshire",Less than a year,Allstyle Roofing & Building Ltd,9.79,6
"Newton Abbot, Devon",2 years,Alltime Plumbing & Heating,9.92,153
"London, Greater London",Less than a year,Alltrades London Ltd,9.58,9
"Greenhithe, Kent",2 years,Alltype Facilities Ltd,9.87,44
"Greenhithe, Kent",Less than a year,Alltype Fire & Facilities Ltd,10,7
Bromley,3 years,Alltype Paving and Building Ltd,9.62,122
"Gillingham, Kent",3 years,AllType Surfacing & Construction Ltd,9.94,54
"Wokingham, Berkshire",8 years,Allways Roofing,9.7,107
"Gosport, Hampshire",5 years,Allweather Building Services Ltd,9.78,54
"Warlingham, Surrey",2 years,Allwood Preservation,9.88,93
"Reading, Berkshire",3 years,Allwood Sash Ltd,9.58,126
London,3 years,Ally Electrical Services Ltd,9.83,28
London,2 years,Allyouneedecorating,9.76,64
"Leamington Spa, Warwickshire",Less than a year,Almond Maintenance Ltd,10,5
"Shaftesbury, Dorset",1 year,Alner Roofing Ltd,9.83,9
"London, Greater London",Less than a year,"Al-Noor Plumbing, Heating and Building Services Limited",9.68,10
"Crawley, West Sussex",2 years,Alogic,9.78,181
"Aylesford, Kent",1 year,Alon Interiors,9.87,27
"Woodford Green, Essex",Less than a year,Along The Grain Ltd,9.85,5
"Crawley, West Sussex",12 years,Alpha & Omega Decorators,9.75,485
"East Preston, West Sussex",6 years,Alpha Carpentry & Decorators,9.87,71
"Wallington, Surrey",Less than a year,Alpha Construction Elite Ltd.,9.94,25
"Chessington, Surrey",1 year,Alpha Glass London Ltd,9.85,59
"Hemel Hempstead, Hertfordshire",2 years,Alpha Home Improvements London Ltd,9.86,33
"Reading, Berkshire",3 years,Alpha Plastering,9.88,157
"Stevenage, Hertfordshire",3 years,Alpha Plumbing & Heating,9.95,73
Coventry,Less than a year,Alpha Power Cleaning,9.9,5
"Nottingham, Nottinghamshire",1 year,Alpha Property Maintenance,9.21,13
"Corsham, Wiltshire",Less than a year,Alpha Rod,9.84,18
"Falkirk, Stirlingshire",2 years,Alpha Roofing,9.88,20
"Cambridge, Cambridgeshire",4 years,Alpha Roofing,9.76,161
"Bodiam, East Sussex",7 years,Alpha Surveys Limited,9.88,46
"Cobham, Surrey",2 years,Alpha Tree Care,9.9,168
"Reading, Berkshire",11 years,Alpha Windows,9.72,851
"Aldershot, Hampshire",2 years,Alphabet Removals,9.99,61
Surbiton,2 years,Alphaclear Windows & External Cleaning,9.95,440
"Croydon, Greater London",5 years,Alphaglaze (Croydon) Ltd,9.87,677
"Brentwood, Essex",Less than a year,Alphatek Interiors,9.93,7
"Southampton, Hampshire",7 years,Alpin Plastering Services,9.86,323
"Epsom, Surrey",5 years,Alpine Aerials,9.99,304
"Brighton, East Sussex",6 years,Alpine Aerials & Satellites,9.8,655
"Woking, Surrey",6 years,Alpine Electrical Limited,9.93,187
"Bournemouth, Dorset",1 year,Alpine Fencing,9.91,27
"Brentwood, Essex",Less than a year,Alpine Home Improvements,9.82,26
"Banstead, Surrey",8 years,Alpine Lock Services Ltd,9.95,494
"Worthing, West Sussex",9 years,Alpine Property Services,9.99,118
"Halifax, West Yorkshire",1 year,Alpine Roofing & Maintenance Ltd,9.85,26
"Morden, Dorset",Less than a year,Alpine Surveys Ltd,9.94,36
"Uxbridge, Middlesex",3 years,Alpine Surveys Ltd,9.87,245
"Liss, Hampshire",1 year,Alpine Tree Surgeons Ltd,9.85,61
"Glasgow, Lanarkshire",Less than a year,ALS,9.52,23
"Ashford, Kent",1 year,ALS Ceramic Tiling,9.88,22
"Nottingham, Nottinghamshire",Less than a year,ALS Decorators,9.42,6
"Basingstoke, Hampshire",1 year,ALS Locksmiths Ltd,9.8,17
"Fareham, Hampshire",2 years,ALS Locksmiths Ltd,9.96,198
"Havant, Hampshire",4 years,ALS Roofing and Building,9.96,78
"Caldicot, Newport",3 years,ALS Trading Ltd,9.85,85
"London, Greater London",Less than a year,ALS Tree Surgery Ltd,9.67,6
"Cheltenham, Gloucestershire",2 years,Alsto-Heat Ltd,9.45,25
"Crowborough, East Sussex",4 years,Alston Electrical,9.88,85
"Stevenage, Hertfordshire",4 years,Altered Images,9.84,45
"Camberley, Hampshire",8 years,Altered Images,9.83,104
"London, Greater London",1 year,Alterego Building Projects Ltd,9.7,10
"Waterlooville, Hampshire",2 years,Alternative Building Services Southern Ltd,9.8,23
"Heathfield, East Sussex",Less than a year,Altkey Locksmiths Ltd,10,24
"Alton, Hampshire",2 years,Alton Pumps Ltd,9.72,44
"Altrincham, Greater Manchester",1 year,Altrincham Fencing,9.68,36
"Portsmouth, Hampshire",1 year,Alumain Limited,9.96,64
"Reading, Berkshire",Less than a year,Aluminium Design Solutions Ltd,9.92,9
"Bradford, West Yorkshire",1 year,Alvadac Ltd,9.87,27
"Derby, Derbyshire",2 years,Alverprise Limited,9.89,7
"Dagenham, Essex",Less than a year,"Alvis Painting, Decorating And Flooring",9.82,10
"Eastleigh, Hampshire",4 years,ALW Plumbing & Heating,9.9,63
"Warrington, Cheshire",Less than a year,Always Bee Building,9.13,6
"Walton-on-thames, Surrey",6 years,Always Guttering and Roofing Ltd,9.96,72
"Bracknell, Berkshire",Less than a year,Always Painting,9.98,23
"Bracknell, Berkshire",4 years,Always Plastering,9.97,68
"Preston, Lancashire",4 years,AM  Drives and Landscapes.,9.94,86
"Lewes, East Sussex",6 years,AM Appliances Limited,9.9,972
"Matlock, Derbyshire",3 years,AM Bespoke Building Solutions,9.72,40
"Epsom, Surrey",2 years,AM Builders,9.84,23
East Sussex,Less than a year,AM Builders (South East) Ltd,9.65,5
"Reading, Berkshire",Less than a year,AM Building and Landscaping  Services,9.67,6
London,1 year,AM Construct Ltd,9.86,42
"Manchester, Greater Manchester",1 year,AM Decorating Ltd,9.89,18
"Isleworth, Middlesex",1 year,AM Electrics Etc Ltd,9.68,18
"Dartford, Kent",Less than a year,AM Kitchens,9.67,41
"Enfield, Middlesex",Less than a year,AM Painting and Decorating,9.4,5
"Bristol, Gloucestershire",2 years,AM Plumbing & Heating,9.9,150
"Hatfield, Hertfordshire",Less than a year,AM Property Refurbishment,9.5,5
"Birmingham, West Midlands",3 years,AM Shirley Builders,9.45,31
"Denny, Stirlingshire",Less than a year,AM Steel Solutions,9.92,9
"Dunstable, Bedfordshire",Less than a year,AM Sweeps Stoves & Fireplaces Limited,9.91,16
"Leighton Buzzard, Bedfordshire",Less than a year,AM2PM Scaffolding,9.98,14
"Woking, Surrey",Less than a year,AMA Painters Ltd,9.61,14
"Washington, Tyne and Wear",1 year,AMA Painting and Decorating Services,9.92,38
London,4 years,AMAC Electrical Contracting,9.49,39
"Rotherham, South Yorkshire",4 years,Amandas Blinds Ltd,9.89,741
"Camberley, Surrey",1 year,Amanzi Plumbing & Heating Limited,9.9,21
"Manchester, Greater Manchester",2 years,Amara Electrical Contractors Ltd,9.99,91
"Stafford, Staffordshire",1 year,Amarco Group Ltd,9.82,21
London,4 years,Amastic Roofing & Building Services Ltd,9.72,29
"Brighton, East Sussex",3 years,Amazing Ovens,9.96,596
"Fleet, Hampshire",6 years,Amazon Windows,9.39,609
"Abertillery, Gwent",Less than a year,AMB Digital Vision Ltd,9.82,40
"Sidcup, Kent",3 years,AMB Glazing Ltd,9.95,106
"Liphook, Hampshire",7 years,Ambassador Cleaning Specialists,9.96,1394
"Plumpton Green, East Sussex",4 years,Amber AC Ltd,9.76,76
"Bradford, West Yorkshire",Less than a year,Amber Driveways,8.92,19
"St. Leonards-on-Sea, East Sussex",4 years,Amber Garden,9.43,94
"Aldershot, Hampshire",Less than a year,Amber Locksmiths Ltd,9.95,5
"Nottingham, Nottinghamshire",Less than a year,Amber Plastering and Property Maintenance,9.85,23
"Epsom, Surrey",4 years,Amber Plumbers,9.69,70
"Worthing, West Sussex",13 years,Amber Plumbing,9.76,643
"Felpham, West Sussex",17 years,Amberley Roofing,9.88,96
"Reading, Berkshire",7 years,Amberwood Designs,9.77,238
"Worcester, Worcestershire",Less than a year,Amberwood Kitchens,9.67,13
"Birmingham, West Midlands",Less than a year,Ambient Decoration,9.45,5
"Dorking, Surrey",6 years,Ambient Electrical Services,9.88,136
"Evesham, Worcestershire",1 year,Ambient Heating Specialist,9.95,14
"Ryton, Tyne and Wear",3 years,Ambient Preservation,9.68,35
"Ringwood, Hampshire",2 years,Ambient Temperature Gas Ltd,9.94,67
"Gillingham, Kent",2 years,Ambler Electrical & Home Improvements Ltd,9.91,80
Uxbridge,1 year,Ambush Security Systems Ltd,9.94,72
"Southampton, Hampshire",3 years,AMC Car Repairs,9.96,145
"Bognor Regis, West Sussex",Less than a year,AMC Garden Maintenance,9.96,12
"Walton- on-Thames, Surrey",11 years,AMC Locksmiths,9.96,719
London,3 years,AMC Paving & Building Limited,9.74,57
"Bedford, Bedfordshire",4 years,AMC Plumbing & Heating,9.95,121
"Coventry, West Midlands",1 year,AMC UK Developments Ltd,9.79,61
"Hove, East Sussex",13 years,AMCO Brighton Ltd,9.75,286
"Eastleigh, Hampshire",5 years,AME South,9.89,62
"Canvey Island, Essex",Less than a year,Amec Plumbing & Heating,9.78,8
"New Milton, Hampshire",Less than a year,Amelie's Lady Decorator,9.67,16
"Brighton, East Sussex",11 years,Amelo Gardens,9.8,219
"Addlestone, Surrey",Less than a year,Amery Heating Services,10,10
"Salisbury, Wiltshire",2 years,Amesbury Plumbing & Heating Ltd,9.89,78
"Seaford, East Sussex",1 year,Amethyst Plumbing & Heating Services,9.88,51
"Sittingbourne, Kent",3 years,Amey Security Systems Ltd,9.99,62
"Bexhill-on-Sea, East Sussex",1 year,AMF Renovations Ltd,9.88,23
"Milford Haven, Sir Benfro",1 year,AMG Electrical (Pembs) Ltd,9.89,56
"Sutton, Greater London",4 years,AMG Heating Services,9.91,89
"Sheffield, South Yorkshire",2 years,AMG Tiling,9.72,136
"Waterlooville, Hampshire",3 years,Amiante STR Ltd,9.85,73
"Tadworth, Surrey",1 year,Amic Limited,10,6
"Romford, Essex",Less than a year,Amigo Home Improvements,10,7
"Surbiton, London",Less than a year,Amigoservices,9.54,6
"Bromley, Kent",Less than a year,AMJ Contracts,9.82,11
"Blandford Forum, Dorset",3 years,AMJ Furniture,9.94,31
"Birmingham, West Midlands",1 year,AMK Flooring,9.89,82
"Waterlooville, Hampshire",2 years,AMK Heating & Plumbing Services,9.98,177
"Abingdon, Oxfordshire",4 years,AML Carpentry & Windows,9.79,138
"Wareham, Dorset",6 years,Amos & Associates Ltd,9.8,23
"Barnet, London",3 years,Amos & Duarte Limited,9.75,22
"Waterlooville, Hampshire",3 years,Amott Tree Surgery Ltd,9.97,290
"Portsmouth, Hampshire",2 years,AMP Brickwork Ltd,9.81,50
"Wolverhampton, Staffordshire",1 year,AMP Da Silva Painting & Decorating Ltd,9.53,15
"Bletchingley, Surrey",7 years,AMP Electrical Contractors Ltd,9.77,178
"Clacton-on-Sea, Essex",1 year,AMP Electrics,9.94,44
"Bonnyrigg, Midlothian",Less than a year,Amp Installations Ltd,9.94,35
"Rochester, Kent",2 years,Amped Electrical Solutions Ltd,9.96,130
"Crawley, West Sussex",1 year,Amphibian Scaffolding Ltd,9.64,11
"Verwood, Dorset",5 years,AMPM Glazing,9.89,56
"Washington, Tyne and Wear",1 year,Amps Electrical,10,39
"High Wycombe, Buckinghamshire",Less than a year,AMPTEC Electrical Ltd,9.79,17
"Prudhoe, Northumberland",1 year,AMR Ceramic Tiling,9.9,22
"Salford, Greater Manchester",1 year,AMR Decorating,9.91,37
"Blaydon-on-Tyne, Tyne and Wear",2 years,Amron Windows and Doors Ltd,9.82,108
"Basingstoke, Hampshire",2 years,Amrose Scaffolding,9.92,40
"Ferndown, Dorset",5 years,AMS Aerials,9.97,410
"Lewes, East Sussex",3 years,AMS Property Services,9.89,66
"Newhaven, East Sussex",6 years,AMT,9.93,501
Sutton,4 years,AMT Heating Ltd,9.93,224
London,3 years,AMT Security Systems Ltd,9.69,27
"Camberley, Surrey",4 years,Amtech Electrical Ltd,9.98,108
"Waltham Abbey, Essex",2 years,AMV Chimney Sweeps,9.97,184
"Hampton, Middlesex",4 years,AMV Electrical,9.99,168
Enfield,2 years,AMW Electrical,9.93,80
"Manchester, Greater Manchester",1 year,AMW Lift & Mobility Services Ltd,9.93,131
"Brighton, East Sussex",7 years,Amwick Floors Ltd,9.94,40
"Aldershot, Hampshire",Less than a year,An Eye For Detail,9.95,32
Edinburgh,Less than a year,AN Integrated Systems Limited,0,1
"Weymouth, Dorset",Less than a year,ANB Electrical Ltd,9.99,35
"Godalming, Surrey",6 years,ANC Painting & Decorating,9.85,104
"Ringwood, Dorset",2 years,ANC Plumbing & Maintenance,9.83,65
"Lancing, West Sussex",13 years,Anchor Garage Doors Ltd,9.89,810
"Bristol, Gloucestershire",1 year,Anchor Management,9.91,43
"Winchester, Hampshire",4 years,Anchor Pipework Ltd,9.68,37
"Clacton-on-Sea, Essex",3 years,Anchor Property Solutions,9.61,94
"Carshalton Beeches, Surrey",6 years,Anchorage Roofing Services,9.78,159
"Carshalton, Surrey",Less than a year,And Move,9.93,21
"Southampton, Hampshire",5 years,Andamar Landscapes,9.77,144
"London, Greater London",Less than a year,Anderson & Andrews Building Contractors Ltd,9.74,19
"Chelmsford, Essex",Less than a year,Anderson & Co,10,4
"Ipswich, Suffolk",5 years,Anderson Appliance Repairs Limited,9.93,576
"Stockton-on-Tees, Durham",4 years,Anderson Conservatories,9.91,112
"Havant, Hampshire",4 years,Anderson Electrical Services,9.97,62
"Newhaven, East Sussex",Less than a year,Anderson Gas Services,10,9
"East Boldon, Tyne and Wear",4 years,Anderson Joinery,9.8,100
Wallington,2 years,Anderson Landscapes,9.86,27
"Glasgow, South Lanarkshire",Less than a year,Anderson Locksmiths,10,5
"Wickford, Essex",1 year,Anderson Paving,9.72,23
"Brierley Hill, West Midlands",1 year,Anderson's Interior and Exterior Limited,9.77,26
"Dunstable, Bedfordshire",2 years,Anderton Electrics Limited,9.71,46
"Andover, Hampshire",5 years,Andover Electrical Services,9.73,77
"Andover, Hampshire",Less than a year,Andover Glass Works Ltd,10,14
"Andover, Hampshire",2 years,Andover Groundworks & Construction Ltd,9.89,45
"Andover, Hampshire",1 year,Andover Gutter Cleaning,9.89,42
"Andover, Hampshire",6 years,Andover Plastering Limited,9.76,117
"Havant, Hampshire",3 years,Andre Borman & Grandsons,9.94,77
"London, Greater London",Less than a year,Andre Upholstery Ltd,9.74,22
York,1 year,Andrew Brind Ltd,10,10
"Farnham, Surrey",4 years,Andrew Burland,9.74,47
"Wellington, Somerset",Less than a year,"Andrew Childs Fascias, Soffits & Guttering",9.92,18
Isleworth,2 years,Andrew Coleman,9.84,38
"Salisbury, Wiltshire",Less than a year,Andrew Cole's Electrical,9.97,31
"Leyland, Lancashire",Less than a year,Andrew Davies Plastering,9.84,32
West Wickham,2 years,Andrew Demello,9.95,102
"Farnborough, Hampshire",7 years,Andrew Duffett Painter & Decorator,10,198
"Harrow, Middlesex",9 years,Andrew Farkas Ltd,9.89,100
"Pulborough, West Sussex",9 years,Andrew Gale Tree Surgery Ltd,9.88,476
"Worthing, West Sussex",11 years,Andrew Hellard  Plumbing Services,9.92,70
"Aldershot, Hampshire",3 years,Andrew Holloway & Holloway's Fencing,9.9,110
"Hindhead, Hampshire",6 years,Andrew James Driveways,9.93,110
"Worthing, West Sussex",5 years,Andrew Reeves Plastering Specialists,9.81,120
"Romsey, Hampshire",9 years,Andrew Sillence Plastering,9.93,427
"Sutton Coldfield, West Midlands",5 years,Andrew Wills Painting & Decorating,9.97,253
"Esher, Surrey",10 years,Andrews Contracts,9.82,54
"Bournemouth, Dorset",2 years,Andrews Flooring,9.95,164
"Woking, Surrey",Less than a year,Andrews Ovens,9.95,10
"Southampton, Hampshire",4 years,Andrews Plumbing & Heating,9.87,210
"Crawley, West Sussex",1 year,Andrew's Plumbing Services,9.95,48
"Aldershot, Hampshire",8 years,Andrew's PVCU Supplies Ltd,9.72,118
"Camberley, Surrey",Less than a year,Andrews Quality Decorating,10,6
"Hebburn, Tyne and Wear",1 year,Andrews Removals Tyne & Wear,9.99,199
"Wokingham, Berkshire",3 years,Androse Tiling Ltd,9.75,56
"Lee-on-the-Solent, Hampshire",5 years,Andy - Lectrics,9.94,303
London,Less than a year,Andy & Sons Property Maintenance,9.63,16
"Polegate, East Sussex",4 years,Andy Anderson & Son Locksmiths,9.94,347
"Polegate, East Sussex",1 year,Andy Austen Kitchens,9.9,24
"Uckfield, East Sussex",4 years,Andy Bartholomew,9.91,133
"Gloucester, Gloucestershire",Less than a year,Andy Bell Construction,9.64,7
"Coventry, West Midlands",Less than a year,Andy Curless Plastering Services,9.86,16
"Solihull, West Midlands",Less than a year,Andy D Electrical Installations Ltd,9.55,5
"Lancing, West Sussex",10 years,Andy Geall Plumbing,9.67,112
London,3 years,Andy Handyman,9.51,23
"Kew, Greater London",1 year,Andy Harris Construction,9.86,30
"Trowbridge, Wiltshire",3 years,Andy Kay Construction,9.86,29
"Ferndown, Dorset",5 years,Andy Keegan Heating Ltd,9.86,177
"Preston, Lancashire",4 years,Andy Kille Building And Property Maintenance,9.95,260
"Tadworth, Surrey",3 years,Andy Lloyd Heating & Plumbing,9.87,79
"Poole, Dorset",7 years,Andy P Ltd,9.99,87
"West Chiltington, West Sussex",8 years,Andy Plumbing Heating & Gas Services,9.86,1181
"Salisbury, Wiltshire",2 years,Andy Pool Flooring,9.63,13
"Worthing, West Sussex",9 years,Andy Rawles Property Maintenance,9.97,200
"Nottingham, Nottinghamshire",2 years,Andy Richards Handyman Services,9.98,97
"Hailsham, East Sussex",2 years,Andy Russell,9.95,101
"Norwich, Norfolk",1 year,Andy Sharp & Sons Painting & Decorating Services,9.98,32
"Stockton-on-Tees, Durham",3 years,Andy Simpson Landscaping,9.9,48
"Thatcham, Berkshire",2 years,Andy Stott Locksmiths,9.9,99
"Poole, Dorset",4 years,Andy The Handyman,9.95,79
"Basingstoke, Hampshire",9 years,Andy Theodore Property Solutions,9.67,98
"Stratford-upon-Avon, Warwickshire",Less than a year,Andy Willcox Electrical,9.88,8
"Evesham, Worcestershire",1 year,Andy-Man,9.79,72
"Ingatestone, Essex",4 years,Andy's Aerials Essex,10,199
"Belvedere, Kent",4 years,Andy's Contractors,9.93,70
"Islington, Greater London",3 years,Andy's Gutters,9.75,196
"Poole, Dorset",2 years,Andys Home Maintenance,9.98,81
"Whyteleafe, Surrey",9 years,Andys Painting & Decorating,9.84,234
"Romsey, Hampshire",4 years,Andy's Plastering & Decorating Services,9.87,75
"Leeds, West Yorkshire",5 years,Andy's Property Maintenance,9.8,105
"Burgess Hill, West Sussex",7 years,ANG Electrical Services,9.85,144
London,1 year,Angel Angelov,9.85,26
"Crediton, Devon",8 years,Angel Plumbing Services,9.97,295
London,4 years,Angel Plumbing Services Ltd,9.71,36
"Chessington, Greater London",14 years,Angel Roofing,9.76,639
"Banstead, Surrey",5 years,Angel Security Systems Ltd,9.88,112
"Swanley, Kent",3 years,Angel Star Roofing,9.67,38
"Croydon, Greater London",3 years,Angelo's Dream Gardens Ltd,9.77,58
"Southampton, Hampshire",8 years,Angelos Flooring,9.87,378
"Hailsham, East Sussex",5 years,Angels Roofing,9.82,167
"Orpington, Kent",5 years,Angier & Frowde Limited,9.89,141
"Ipswich, Suffolk",1 year,Anglia Domestic Refrigeration Ltd,9.9,30
"Norwich, Norfolk",1 year,Anglia Gas Services (Norwich) Ltd,9.76,29
"Bures, Essex",1 year,Anglia Paving,9.97,26
"Thetford, Norfolk",2 years,Anglian Heating Services,9.92,182
"Ashford, Surrey",1 year,Anglo-Polish Builders Ltd,9.66,83
Twickenham,3 years,Angus Ellis Building Services Limited,9.32,21
"Southend, Essex",Less than a year,Anigmar Solutions Ltd,10,6
"London, Greater London",Less than a year,Animus Construction Ltd,9.7,5
"Dudley, West Midlands",Less than a year,ANM Gas Heating Services,9.7,5
Chessington,1 year,Anne Duncan Electrician,9.95,119
"Preston, Lancashire",5 years,Another Level Loft Conversions NW Limited,9.37,78
"Leyland, Lancashire",Less than a year,Another Storey Loft Conversions Ltd,9.83,6
South Croydon,1 year,ANR Roofing Services,9.76,49
"Mayfield, East Sussex",1 year,Ansell Landscapes Limited,9.85,10
"Farnham, Surrey",2 years,Ansells Property Maintenance,9.82,45
"Havant, Hampshire",7 years,Anson Building Services Ltd,10,179
"Worksop, Nottinghamshire",2 years,Anston Decorators Ltd,9.95,38
"Hove, East Sussex",7 years,Ant & Decorators,9.94,63
"Woking, Surrey",4 years,Ant Construction Ltd,9.96,74
